type,Tau_PT_sum,Tau_PT_dif,Tau_PT_1,Tau_PT_2,Tau_Mass_sum,Tau_Mass_dif,Tau_Mass_1,Tau_Mass_2,Tau_Ener_sum,Tau_Ener_1,Tau_Ener_2,Tau_Eta_dif,Tau_Eta_1,Tau_Eta_2,Tau_Phi_dif,Tau_Phi_1,Tau_Phi_2,Miss_MET,Jet_PT_sum,Jet_PT_dif,Jet_PT_1,Jet_PT_2,Jet_Mass_sum,Jet_Mass_dif,Jet_Mass_1,Jet_Mass_2,Jet_Ener_sum,Jet_Ener_1,Jet_Ener_2,Jet_Eta_dif,Jet_Eta_1,Jet_Eta_2,Jet_Phi_dif,Jet_Phi_1,Jet_Phi_2
1,561.608,359.836,460.722,100.886,0.95374,0.953735,0.953737,2.33602e-06,989.38,888.116,101.264,-1.18765,-1.27415,-0.0865,3.38516,2.81967,-0.565491,103.831,648.01,52.9849,350.497,297.512,77.6868,42.4797,60.0833,17.6036,2298.99,1078.79,1220.21,3.8774,1.78824,-2.08915,2.64941,0.407201,-2.24221
1,477.162,431.438,454.3,22.8622,10.0993,4.18365,7.14145,2.9578,986.393,960.053,26.3395,1.91185,1.37998,-0.531877,-3.95881,-2.40483,1.55398,65.5925,306.736,1.21329,153.975,152.761,46.2192,-12.8304,16.6944,29.5248,1035.15,154.979,880.168,-2.47272,-0.0365249,2.43619,-1.84544,-0.418506,1.42694
1,355.382,16.9556,186.169,169.213,2.84984,1.88077,2.36531,0.484535,1094.15,480.776,613.372,-0.359272,1.60209,1.96136,-0.829439,-0.068897,0.760542,76.7745,769.746,98.9061,434.326,335.42,116.72,31.6943,74.207,42.5127,2459,1265.46,1193.55,-3.67129,-1.72986,1.94143,4.03907,2.86711,-1.17195
1,633.284,567.601,600.442,32.8417,1.2384,0.88151,1.05996,0.178445,767.428,727.896,39.5316,0.0126558,0.640553,0.627897,3.61741,1.77479,-1.84262,74.393,736.642,656.609,696.625,40.0167,85.1297,69.9323,77.531,7.59872,1551.5,1252.28,299.22,-3.88922,-1.18902,2.7002,-3.88512,-1.18008,2.70504
1,1323.98,121.659,722.821,601.162,23.7429,9.31947,16.5312,7.2117,1509.44,739.899,769.538,0.947705,0.215784,-0.731921,-3.26249,-0.402247,2.86025,287.75,408.516,53.1389,230.828,177.689,45.7406,17.9529,31.8468,13.8938,1701.93,839.568,862.357,-4.22602,-1.96416,2.26186,5.25742,2.4307,-2.82672
1,892.401,636.053,764.227,128.174,33.0257,27.2823,30.154,2.87167,1558.61,1239.65,318.96,0.497631,-1.06408,-1.56172,-0.332275,-1.3262,-0.993928,124.917,1152.77,936.343,1044.56,108.212,44.6647,17.0655,30.8651,13.7996,3575.22,1204.58,2370.63,-4.32547,-0.546041,3.77943,4.16189,1.58717,-2.57472
1,306.33,199.228,252.779,53.5509,3.48141,2.23604,2.85873,0.622687,905.741,788.226,117.515,-0.381084,-1.80365,-1.42256,-1.47043,-2.46696,-0.996532,156.94,398.839,87.465,243.152,155.687,78.5128,47.2105,62.8616,15.6512,1843.64,995.825,847.817,4.46498,2.08572,-2.37925,-0.510856,0.978073,1.48893
1,634.77,414.012,524.391,110.379,17.6263,-0.524088,8.55108,9.07517,677.187,557.977,119.21,-0.745311,-0.355676,0.389635,-4.55268,-1.77623,2.77646,70.4264,1009.48,449.743,729.61,279.867,67.8591,-0.65358,33.6027,34.2563,3406.78,1820.43,1586.35,3.98437,1.56446,-2.41991,2.34178,1.50925,-0.832532
1,237.706,148.238,192.972,44.7343,13.8586,9.2213,11.5399,2.31865,415.531,206.454,209.077,1.85617,-0.367232,-2.2234,-3.95367,-2.50886,1.4448,88.7312,194.862,56.9566,125.91,68.9529,19.2138,11.7889,15.5014,3.71241,780.723,642.509,138.214,3.63204,2.31293,-1.31912,1.92479,0.646892,-1.2779
1,912.238,570.845,741.542,170.697,6.56188,-1.4874,2.53724,4.02464,1092.69,875.049,217.641,0.133935,-0.591402,-0.725337,3.92901,1.80451,-2.12449,149.941,784.51,592.827,688.668,95.8415,89.8512,55.2335,72.5423,17.3089,1162.59,949.149,213.438,2.27557,0.840178,-1.43539,-1.48993,-1.39267,0.0972684
1,1323.98,121.659,722.821,601.162,23.7429,9.31947,16.5312,7.2117,1509.44,739.899,769.538,0.947705,0.215784,-0.731921,-3.26249,-0.402247,2.86025,287.75,408.516,53.1389,230.828,177.689,45.7406,17.9529,31.8468,13.8938,1701.93,839.568,862.357,-4.22602,-1.96416,2.26186,5.25742,2.4307,-2.82672
1,676.632,598.35,637.491,39.141,8.81593,0.4058,4.61087,4.20506,805.422,684.681,120.741,2.17399,0.382376,-1.79161,-2.95703,-1.70391,1.25312,163.868,875.009,732.14,803.574,71.4347,85.7741,72.3859,79.08,6.6941,2751.56,1108.33,1643.23,-4.6701,-0.841798,3.8283,2.23688,1.45339,-0.783489
1,237.908,176.207,207.058,30.8505,5.1437,1.13336,3.13853,2.00517,1217.77,1162.27,55.5039,3.60179,2.41024,-1.19154,3.21134,0.947157,-2.26418,92.5545,188.665,32.1926,110.429,78.2361,26.3411,7.69181,17.0165,9.32466,462.619,295.6,167.019,3.02887,1.63912,-1.38974,-1.62136,-3.0438,-1.42244
1,250.736,47.8279,149.282,101.454,7.56361,4.44626,6.00494,1.55867,576.807,232.1,344.707,0.88438,-1.00945,-1.89383,-4.45824,-1.70771,2.75053,115.006,466.329,192.229,329.279,137.05,91.6921,63.8786,77.7853,13.9068,2740.63,2491.74,248.888,3.91378,2.71209,-1.20169,2.37308,1.75399,-0.619086
1,434.51,319.491,377.001,57.5093,6.72518,1.79737,4.26127,2.46391,1013.64,896.462,117.177,0.173765,1.51187,1.33811,4.37909,3.10596,-1.27313,68.614,447.29,246.286,346.788,100.502,74.828,38.7553,56.7917,18.0363,2029.52,847.081,1182.44,-4.69533,-1.53895,3.15638,-1.53944,0.0582479,1.59769
1,364.545,156.305,260.425,104.12,12.0364,5.27757,8.65699,3.37942,743.08,571.358,171.722,-0.33698,-1.42219,-1.08521,-1.42914,-1.87491,-0.445772,281.012,486.133,191.339,338.736,147.397,94.0626,26.2884,60.1755,33.8871,1730.91,1314.23,416.681,-3.72673,-2.03081,1.69593,0.987518,2.23695,1.24943
1,373.983,244.785,309.384,64.5988,10.8243,6.73218,8.77824,2.04605,1236.64,997.449,239.192,0.144672,-1.83876,-1.98343,-3.7113,-1.63671,2.07459,157.014,440.503,288.286,364.395,76.1082,80.0465,61.1061,70.5763,9.47019,1293.53,766.665,526.863,3.99266,1.37015,-2.62251,-2.03099,0.968661,2.99965
1,209.721,96.5875,153.154,56.5669,2.25202,-0.430675,0.910673,1.34135,371.576,293.318,78.2577,-2.11624,-1.26653,0.849706,-1.85359,-0.0706815,1.78291,204.234,283.22,14.584,148.902,134.318,52.295,-0.597277,25.8489,26.4461,2013.98,1548.05,465.929,-4.94598,-3.03215,1.91383,-0.473433,2.17425,2.64768
1,359.615,29.8942,194.754,164.86,3.4324,3.43241,3.4324,-5.3948e-06,932.442,533.965,398.478,-0.136798,-1.66666,-1.52987,1.35331,-0.863448,-2.21676,246.079,513.327,334.065,423.696,89.6313,83.0012,56.7226,69.8619,13.1393,1280.74,1098.4,182.341,2.93765,1.60408,-1.33357,-1.4837,1.33657,2.82027
1,261.353,74.6132,167.983,93.3699,12.2641,3.86198,8.06304,4.20106,736.369,394.357,342.011,0.47466,-1.49751,-1.97217,2.7359,2.32391,-0.411987,111.711,477.235,166.218,321.726,155.509,86.4915,53.8628,70.1771,16.3144,1813.36,1331.8,481.555,3.89309,2.09738,-1.7957,-2.39362,-2.30735,0.0862752
1,854.524,334.743,594.634,259.89,25.6138,7.7775,16.6956,8.91813,1131.11,862.635,268.478,-1.17086,-0.916699,0.254161,2.44534,1.90574,-0.539604,147.091,723.218,417.084,570.151,153.067,71.6581,52.2536,61.9558,9.70225,1869.08,911.647,957.437,3.56319,1.04316,-2.52003,1.7623,-1.34537,-3.10767
1,327.392,178.015,252.704,74.6886,2.41174,-1.35224,0.529748,1.88199,516.724,323.207,193.517,-0.874997,0.730626,1.60562,-1.5835,-1.29666,0.28684,95.5893,426.143,190.961,308.552,117.591,58.975,24.4611,41.7181,17.257,2568.37,2217.77,350.605,-4.41538,-2.66046,1.75492,3.80626,1.82201,-1.98425
1,261.665,79.1274,170.396,91.269,31.1929,5.09017,18.1415,13.0513,1288.84,316.034,972.805,4.28394,1.22672,-3.05722,-2.0388,-1.56361,0.475187,126.953,469.414,55.4329,262.424,206.991,44.8966,10.112,27.5043,17.3923,2295.52,1485.13,810.389,-4.4594,-2.41837,2.04103,3.40135,0.655312,-2.74604
1,206.291,113.084,159.688,46.6038,9.7918,2.32514,6.05847,3.73333,383.156,160.325,222.832,2.16573,-0.0808855,-2.24662,-0.265348,-1.33434,-1.06899,45.0723,143.35,68.9679,106.159,37.1911,12.1247,7.22208,9.6734,2.45132,613.494,143.125,470.37,-4.03762,-0.808605,3.22902,-5.237,-2.3022,2.9348
1,272.166,179.848,226.007,46.1587,13.2186,10.7335,11.9761,1.24255,510.237,288.929,221.308,2.97805,0.728509,-2.24954,-0.720757,-0.316165,0.404592,445.543,785.782,553.753,669.767,116.015,60.2505,29.0819,44.6662,15.5843,2028.1,1047.02,981.077,3.84024,1.0158,-2.82444,0.689761,2.8155,2.12574
1,502.822,304.809,403.815,99.0062,11.6741,7.10048,9.38727,2.28679,554.979,410.975,144.004,0.733766,-0.186617,-0.920383,-1.24121,-0.277161,0.964052,32.5881,683.063,305.463,494.263,188.8,102.53,38.0622,70.2959,32.2336,3120.24,2907.56,212.683,2.92956,2.45755,-0.472017,2.44008,3.07796,0.63788
1,255.373,30.172,142.773,112.601,6.56878,-6.56878,0,6.56878,903.544,585.497,318.047,0.390795,2.08915,1.69835,-2.02164,-1.03405,0.987587,217.052,365.943,108.324,237.134,128.809,84.0551,7.09085,45.573,38.4821,1979.29,918.33,1060.96,-4.82607,-2.0287,2.79737,2.0722,3.05341,0.98121
1,351.397,214.047,282.722,68.675,5.22422,5.22422,5.22422,3.8147e-06,832.185,592.105,240.08,0.553897,-1.36972,-1.92362,-3.09811,-0.0472842,3.05082,69.3079,365.027,251.054,308.041,56.9865,64.6134,47.5556,56.0845,8.52892,937.053,379.871,557.182,-3.62174,-0.651257,2.97048,-0.632298,-2.59468,-1.96238
1,367.8,2.99733,185.399,182.401,23.3711,15.5759,19.4735,3.89761,582.892,397.321,185.572,-1.20955,-1.39451,-0.184967,2.88826,2.94704,0.0587776,274.201,247.739,96.7237,172.231,75.5077,28.5892,-2.4257,13.0818,15.5075,897.462,655.916,241.546,3.84086,2.01243,-1.82842,0.865014,-0.0666745,-0.931689
1,237.706,148.238,192.972,44.7343,13.8586,9.2213,11.5399,2.31865,415.531,206.454,209.077,1.85617,-0.367232,-2.2234,-3.95367,-2.50886,1.4448,88.7312,194.862,56.9566,125.91,68.9529,19.2138,11.7889,15.5014,3.71241,780.723,642.509,138.214,3.63204,2.31293,-1.31912,1.92479,0.646892,-1.2779
1,369.871,12.4776,191.174,178.697,32.8261,-14.6368,9.09467,23.7314,1366.05,910.007,456.041,3.82991,2.24214,-1.58776,-3.56028,-1.17512,2.38516,200.889,392.057,22.9634,207.51,184.547,35.8418,4.71611,20.279,15.5628,1347.88,568.407,779.476,-3.78434,-1.665,2.11934,-0.758524,-1.23631,-0.477787
1,170.451,55.6782,113.064,57.3863,4.19769,4.19769,4.19769,-1.3487e-06,318.771,235.109,83.6615,0.437721,1.36146,0.923743,3.57763,2.9524,-0.625231,526.543,487.821,335.637,411.729,76.0919,66.3023,46.6058,56.4541,9.84823,1977.16,1082.58,894.58,-4.7758,-1.62011,3.15569,0.334678,2.32901,1.99433
1,406.059,255.207,330.633,75.426,13.7634,5.16128,9.46232,4.30103,520.048,388.946,131.103,0.564918,-0.58495,-1.14987,4.28181,2.82488,-1.45693,351.596,746.546,279.203,512.874,233.671,113.073,35.1745,74.1238,38.9493,2259.35,1135.62,1123.74,3.68229,1.43025,-2.25204,1.44512,0.45888,-0.986238
0,139.671,119.501,129.586,10.0851,2.21457,-2.21456,3.8147e-06,2.21456,240.747,220.278,20.4693,-0.204008,1.12313,1.32714,-1.41965,-2.35553,-0.935884,137.158,280.532,235.123,257.828,22.7044,20.3658,10.1424,15.2541,5.11166,450.631,422.171,28.4599,-1.74574,-1.07554,0.670196,1.25197,0.797014,-0.454956
0,157.946,73.3134,115.63,42.3163,10.3194,6.5964,8.45791,1.86152,178.285,125.656,52.6293,-0.275999,0.407651,0.683649,3.87833,1.23406,-2.64427,59.1178,98.8722,72.4825,85.6773,13.1948,12.2231,10.3574,11.2902,0.932859,711.974,698.731,13.2433,2.83643,2.78791,-0.048514,0.384833,-1.47385,-1.85868
0,171.152,151.944,161.548,9.60425,17.9891,17.4623,17.7257,0.263388,232.908,184.854,48.0532,-1.77177,0.521325,2.2931,0.864321,-1.47739,-2.34171,53.7962,130.36,81.1115,105.736,24.6242,18.2984,6.72817,12.5133,5.78511,261.923,235.982,25.9407,1.67151,1.43993,-0.231577,-0.893573,1.80924,2.70282
0,116.899,95.5599,106.23,10.6696,1.89604,-1.89604,-2.33602e-06,1.89604,172.136,120.914,51.222,2.77011,0.519922,-2.25019,1.72335,2.8103,1.08695,38.2365,148.826,57.1833,103.005,45.8216,21.5276,2.17251,11.8501,9.67754,386.29,237.864,148.426,3.31963,1.47812,-1.84151,-0.103025,-0.35756,-0.254535
0,95.3434,68.8953,82.1193,13.2241,17.0252,10.8489,13.9371,3.08814,266.446,250.364,16.0822,1.16572,1.77819,0.612478,-2.72694,-2.48629,0.240655,81.6326,90.8989,63.1662,77.0325,13.8664,11.0503,5.16107,8.10568,2.94461,831.588,817.245,14.3434,3.20971,3.05258,-0.157127,2.89075,1.7559,-1.13485
0,148.787,94.9144,121.851,26.9362,11.2049,4.02833,7.61664,3.58831,562.959,533.592,29.367,-1.75415,-2.15658,-0.402432,-0.712612,1.51489,2.22751,105.64,63.0939,41.8731,52.4835,10.6104,10.2789,5.47212,7.87552,2.40341,169.799,152.886,16.9132,-2.75908,-1.73007,1.02902,-1.21559,-0.66004,0.555551
0,140.839,12.9354,76.8872,63.9518,19.9694,-14.822,2.57374,17.3957,155.069,86.705,68.3642,-0.758477,-0.49917,0.259307,-1.9749,0.582012,2.55691,40.599,151.556,134.415,142.986,8.57052,11.5758,8.47877,10.0273,1.54851,192.829,183.548,9.2812,1.10013,0.734093,-0.366035,-3.20528,-1.2014,2.00388
0,90.4034,64.8891,77.6462,12.7572,6.70439,-1.33841,2.68299,4.0214,158.858,115.85,43.0086,0.926205,-0.954892,-1.8811,-0.809955,-0.730255,0.0797005,30.7025,654.219,32.8126,343.516,310.703,77.6852,25.5996,51.6424,26.0428,2421.49,1594.48,827.017,3.85015,2.21587,-1.63428,-3.41875,-1.154,2.26476
0,157.519,72.2868,114.903,42.6162,26.3156,20.182,23.2488,3.06682,195.378,117.347,78.0319,-1.16726,0.0452145,1.21247,-2.44106,-2.16228,0.278787,65.5339,217.305,116.677,166.991,50.3144,24.9981,8.02702,16.5126,8.48556,245.205,169.015,76.19,-1.08734,-0.120581,0.966756,3.29511,0.83245,-2.46266
0,110.112,81.7957,95.9539,14.1582,2.90501,-0.943705,0.980653,1.92436,133.466,119.168,14.2979,0.645385,0.682234,0.0368486,-1.61243,0.697792,2.31022,88.1877,194.382,55.1624,124.772,69.6097,21.0563,0.527283,10.7918,10.2645,410.209,127.568,282.641,-2.27155,-0.193328,2.07822,2.0798,-0.768027,-2.84783
0,98.0393,77.5526,87.796,10.2433,9.16063,4.23024,6.69543,2.46519,100.967,90.0407,10.9259,0.0660299,-0.212804,-0.278834,0.824583,0.580383,-0.2442,85.8395,138.6,119.889,129.244,9.35544,24.4204,22.621,23.5207,0.899729,148.498,138.931,9.56714,-0.533039,-0.343082,0.189957,-2.01087,-3.03517,-1.0243
0,78.6106,55.9955,67.3031,11.3076,6.45651,0.749386,3.60295,2.85356,148.994,77.6245,71.3694,1.98359,-0.544808,-2.5284,5.04013,2.4282,-2.61193,42.1294,112.281,83.8831,98.0819,14.1988,10.2334,4.4307,7.33203,2.90133,220.166,128.067,92.0998,3.31708,0.760715,-2.55636,-3.68582,-1.02657,2.65924
0,80.4496,41.7887,61.1192,19.3305,5.44271,-1.95642,1.74314,3.69957,314.845,234.793,80.0525,-4.11975,-2.02161,2.09814,-0.183962,-1.9291,-1.74514,227.6,709.67,22.8335,366.252,343.418,46.9615,-7.18781,19.8868,27.0746,1236.46,432.685,803.779,2.08534,0.591566,-1.49377,2.3703,2.74089,0.370588
0,130.898,112.729,121.813,9.08446,4.01436,0.653895,2.33413,1.68023,251.278,242.003,9.27532,1.39988,1.30917,-0.0907023,-1.42688,0.990979,2.41786,54.5729,223.454,45.5194,134.487,88.9672,20.7561,10.5499,15.653,5.10311,478.104,180.253,297.851,-2.67575,-0.797527,1.87823,-1.6072,-2.9019,-1.2947
0,112.349,12.1354,62.242,50.1066,15.1494,15.1494,15.1494,2.6974e-06,225.606,106.543,119.063,0.391985,-1.11912,-1.5111,-1.98229,-3.02112,-1.03883,32.9239,82.5288,63.3434,72.9361,9.59272,11.5116,6.44077,8.9762,2.53543,214.475,194.502,19.9732,-2.98954,-1.63569,1.35385,-1.83117,1.08984,2.92101
0,98.0511,62.7129,80.382,17.6691,6.90264,-1.11831,2.89216,4.01047,247.448,226.433,21.0153,1.12457,1.69561,0.571041,-2.75385,-2.28438,0.469467,256.814,536.831,167.015,351.923,184.908,62.0639,23.0307,42.5473,19.5166,1225.05,709.496,515.552,3.00803,1.3241,-1.68393,-1.96287,0.192749,2.15562
0,70.6998,52.4103,61.555,9.14478,3.77544,0.18384,1.97964,1.7958,107.489,77.6903,29.7989,-1.13953,0.708572,1.8481,-2.03269,0.234091,2.26678,81.6091,94.6773,72.6282,83.6528,11.0246,23.5347,20.4166,21.9756,1.55907,326.153,147.713,178.44,4.63239,1.15612,-3.47627,5.31352,2.48091,-2.83261
0,169.995,105.875,137.935,32.0602,19.6755,17.3474,18.5115,1.16406,225.745,192.421,33.3244,0.577549,0.85522,0.277671,2.87629,-0.20109,-3.07738,31.6584,137.567,96.8031,117.185,20.382,29.3725,19.7946,24.5835,4.78892,373.854,352.211,21.6434,-2.02805,-1.76213,0.265919,3.32579,2.9825,-0.343287
0,95.4505,54.5117,74.9811,20.4694,17.3146,9.88283,13.5987,3.7159,952.424,847.133,105.292,0.794943,3.11567,2.32073,3.86203,1.41962,-2.4424,110.177,339.316,246.63,292.973,46.3433,38.1068,27.0873,32.597,5.50977,829.333,378.724,450.609,-3.70663,-0.741691,2.96494,-3.40129,-2.49571,0.905575
0,220.669,129.712,175.19,45.4785,17.6704,12.1035,14.887,2.78348,888.555,842.954,45.6011,2.21244,2.25305,0.0406113,2.34645,1.26055,-1.0859,112.992,77.6633,35.8165,56.7399,20.9234,9.1856,1.98728,5.58644,3.59916,99.6829,78.0819,21.601,1.0277,0.838482,-0.189221,-2.57346,-2.34043,0.233033
0,86.1439,37.0869,61.6154,24.5285,7.83235,-3.97085,1.93075,5.9016,172.826,63.4312,109.395,-2.4142,-0.240227,2.17397,-0.47955,1.73312,2.21267,46.8915,91.1019,60.4209,75.7614,15.3405,18.7982,11.5949,15.1965,3.60161,856.612,834.099,22.5137,4.00472,3.08967,-0.915049,0.113582,-1.46282,-1.5764
0,75.1588,52.6131,63.8859,11.2728,9.86382,6.43229,8.14805,1.71577,128.493,72.9357,55.5576,1.7642,-0.513024,-2.27723,-1.04012,-1.21419,-0.174072,35.0076,76.0077,52.1299,64.0688,11.9389,9.64603,6.11705,7.88154,1.76449,80.9286,67.1393,13.7893,0.817374,0.284278,-0.533096,2.84517,2.68804,-0.157128
0,194.916,154.405,174.66,20.2553,33.0788,29.7327,31.4057,1.67304,1713.58,1693.05,20.5267,2.82026,2.96175,0.141489,-3.30048,-0.520039,2.78044,52.7278,182.039,164.73,173.385,8.65465,27.1652,23.4959,25.3305,1.83467,234.641,218.189,16.4524,1.94345,0.693013,-1.25044,0.64588,2.95683,2.31095
0,206.217,172.644,189.431,16.7869,13.7035,10.5447,12.1241,1.57938,405.535,356.806,48.7288,0.480893,-1.24628,-1.72718,-2.61054,0.313347,2.92389,100.991,265.74,139.729,202.735,63.0054,27.3143,12.7958,20.055,7.25922,982.275,917.284,64.9908,2.41337,2.18998,-0.223395,-1.34426,-2.94203,-1.59777
0,107.61,37.1411,72.3753,35.2342,9.50439,-4.39187,2.55626,6.94813,141.322,72.9601,68.3615,1.39774,0.122081,-1.27566,-2.82627,-2.46074,0.365537,33.339,102.006,42.6825,72.3444,29.6618,23.2412,8.76044,16.0008,7.24037,422.717,218.221,204.496,4.38358,1.76568,-2.6179,0.399374,0.944728,0.545354
0,102.43,37.6737,70.0519,32.3782,12.8561,-0.0652137,6.39544,6.46066,212.162,70.8957,141.266,2.02607,-0.12576,-2.15183,-1.6647,0.717601,2.3823,343.574,407.328,372.881,390.105,17.2232,19.5075,12.4652,15.9863,3.52115,730.346,682.486,47.8605,-2.83632,-1.15812,1.6782,0.57838,-2.49052,-3.0689
0,141.097,97.124,119.11,21.9863,25.9835,24.4213,25.2024,0.781072,269.192,178.383,90.8093,-1.14976,0.946702,2.09646,1.78253,1.44435,-0.338182,72.0217,143.844,84.7459,114.295,29.5489,11.7681,3.496,7.63207,4.13607,667.63,633.436,34.1947,2.93606,2.39721,-0.53885,-3.17271,-1.85521,1.3175
0,108.176,37.2238,72.6998,35.476,9.04425,-4.43863,2.30281,6.74144,453.634,376.475,77.1583,-3.73641,-2.32819,1.40822,-3.45564,-1.6643,1.79134,233.84,253.844,197.403,225.624,28.2207,19.7611,6.12743,12.9443,6.81686,315.604,286.264,29.34,-0.865614,-0.716002,0.149612,0.307138,1.02751,0.720374
0,261.335,168.253,214.794,46.5409,17.3728,17.3728,17.3728,-1.16801e-06,270.721,222.887,47.8338,-0.497177,-0.262008,0.235169,-3.02426,-0.648374,2.37589,258.052,160.916,73.8802,117.398,43.5179,21.2616,4.24423,12.7529,8.50869,407.22,163.167,244.053,3.26087,0.852171,-2.4087,1.38997,-1.17951,-2.56948
0,242.445,160.763,201.604,40.8411,32.9428,30.4394,31.6911,1.25171,298.442,256.741,41.7007,-0.91378,-0.711208,0.202572,2.68514,1.16914,-1.516,111.912,111.586,43.6948,77.6406,33.9458,18.2352,1.99184,10.1135,8.12165,307.213,143.998,163.215,3.47692,1.22573,-2.25119,-4.28625,-2.07846,2.20779
0,101.665,61.2865,81.4756,20.1891,3.83177,-3.83176,5.3948e-06,3.83177,304.575,277.241,27.3333,-2.69884,-1.8954,0.803434,1.00118,-1.99277,-2.99395,57.7055,236.075,7.67774,121.877,114.199,25.3975,-9.99366,7.70191,17.6956,481.229,208.533,272.696,2.64456,1.13037,-1.5142,-2.00094,0.470783,2.47172
0,110.292,32.9391,71.6155,38.6764,13.4319,8.11996,10.7759,2.65599,310.26,266.43,43.8295,-2.49425,-1.98753,0.50672,2.51913,2.82311,0.303977,75.5397,84.5594,33.387,58.9732,25.5862,7.47136,-1.62215,2.9246,4.54675,433.262,85.2958,347.966,4.21375,0.91199,-3.30176,0.0226659,-1.13716,-1.15982
0,151.543,48.1651,99.8541,51.689,7.85563,2.82592,5.34078,2.51485,997.573,752.765,244.808,0.471748,2.70874,2.23699,-2.43368,-0.212842,2.22084,63.5495,96.0044,10.3612,53.1828,42.8216,14.0364,-3.01635,5.51003,8.52637,407.55,99.2279,308.322,3.89593,1.23392,-2.66201,2.42218,-0.538931,-2.96111
0,157.01,117.753,137.381,19.6284,20.5925,10.4856,15.539,5.05348,293.338,226.086,67.2515,0.819903,-1.07974,-1.89964,-0.311368,-0.165445,0.145923,99.1635,342.337,170.471,256.404,85.9332,32.9565,11.0364,21.9964,10.96,881.815,782.205,99.61,-2.32489,-1.78008,0.544812,2.47098,2.92371,0.452728
0,98.7096,39.4507,69.0802,29.6295,12.0246,6.7899,9.40727,2.61737,118.744,69.8855,48.8585,1.15341,0.0699843,-1.08343,-0.351446,-0.128285,0.223161,58.2041,159.136,131.311,145.224,13.9125,19.3741,16.501,17.9375,1.43654,168.197,154.144,14.0528,0.425668,0.327808,-0.0978599,0.371984,2.90359,2.53161
0,107.967,44.4611,76.214,31.753,6.94865,6.94865,6.94865,0,165.676,111.798,53.8784,-0.191339,0.929559,1.1209,4.15191,1.01571,-3.1362,50.6559,87.3282,67.1687,77.2485,10.0798,13.8005,11.074,12.4373,1.36324,172.48,81.7391,90.7411,3.18896,0.301549,-2.88741,-3.40504,-2.25931,1.14573
0,79.972,49.4981,64.7351,15.237,4.54423,-0.615765,1.96423,2.57999,130.492,68.7365,61.756,2.42473,0.348598,-2.07614,2.29867,2.42447,0.125799,50.9101,145.417,112.81,129.114,16.3039,9.39676,1.55129,5.47403,3.92274,283.176,182.904,100.271,3.38531,0.883141,-2.50217,-2.36235,-0.973575,1.38877
0,242.639,149.186,195.913,46.7268,8.67183,8.67183,8.67183,1.3487e-06,496.745,408.008,88.7372,0.106512,1.36313,1.25662,-1.75327,-1.53892,0.214353,36.6317,224.765,199.335,212.05,12.715,17.2099,11.4206,14.3152,2.89466,274.593,259.207,15.3861,1.25717,0.652479,-0.604695,-0.414875,1.75335,2.16823
0,142.842,46.601,94.7215,48.1205,18.1399,-2.68984,7.72505,10.4149,1190.09,1098.8,91.2984,-1.89449,-3.14229,-1.2478,-2.58924,0.181664,2.7709,37.5526,340.682,105.48,223.081,117.601,41.5116,-18.785,11.3633,30.1483,453.814,326.784,127.03,1.24224,0.929485,-0.31276,1.95706,-1.00061,-2.95766
0,200.521,132.535,166.528,33.9932,27.6663,18.981,23.3237,4.34261,303.03,266.239,36.791,0.656778,1.04103,0.384256,0.165885,1.08237,0.916488,135.778,178.376,113.601,145.988,32.3877,44.9937,24.3302,34.662,10.3318,212.734,153.968,58.7666,-1.41798,-0.234335,1.18365,-4.51215,-2.49743,2.01472
0,113.781,46.5184,80.1496,33.6313,16.6725,13.2334,14.953,1.71955,133.641,83.3639,50.2772,1.17226,0.215152,-0.957108,0.173152,-2.82143,-2.99458,59.1315,101.202,32.6006,66.9015,34.3009,12.5833,-1.05938,5.76198,6.82137,107.855,71.7386,36.1161,-0.628864,-0.36895,0.259914,-1.48305,-0.0970904,1.38596
0,245.096,6.37468,125.735,119.361,26.0489,7.26476,16.6568,9.39206,435.812,137.307,298.505,-1.15966,0.406981,1.56664,5.47855,2.45078,-3.02778,132.327,833.971,98.3754,466.173,367.798,77.7017,52.655,65.1784,12.5233,1032.05,597.316,434.734,1.31765,0.723909,-0.59374,2.68556,0.0614361,-2.62412
0,78.7807,44.209,61.4949,17.2859,6.3861,-1.75981,2.31315,4.07296,160.795,61.6399,99.1549,-2.37394,0.0574619,2.4314,2.48033,3.02668,0.546351,92.1427,250.584,127.648,189.116,61.4681,50.2971,21.1373,35.7172,14.5799,538.606,307.922,230.684,-3.056,-1.06064,1.99536,-2.17411,-1.06848,1.10564
0,93.5381,74.6682,84.1031,9.43493,7.60194,3.96186,5.7819,1.82004,100.512,87.9571,12.5546,1.07022,0.294108,-0.776108,-3.13323,-1.77535,1.35788,36.3085,86.8984,22.755,54.8267,32.0717,11.8632,-0.356725,5.75326,6.10998,234.416,55.1352,179.281,2.42205,0.0166109,-2.40544,1.64286,1.75513,0.112266
0,127.8,16.3943,72.097,55.7027,16.0904,-7.17034,4.46002,11.6304,185.469,83.6732,101.796,1.75977,0.556552,-1.20321,-2.77964,-2.52436,0.255286,40.0634,68.5777,47.2832,57.9305,10.6473,13.3176,8.70688,11.0122,2.30536,129.487,116.783,12.7037,-1.90155,-1.32096,0.580597,-0.370566,1.15595,1.52652
